timestamp,x,y,z,vx,vy,vz,roll,pitch,yaw
15.612,8.99986,8.99954,0.182462,0.00492081,0.00225707,-0.00386089,-1.14792e-05,2.44705e-05,-0.021747
15.622,8.99985,8.99954,0.182462,-0.0047981,-0.00221841,-0.00387454,1.15505e-05,-2.21355e-05,-0.0217614
15.632,8.99986,8.99954,0.182462,0.00492088,0.00225694,-0.0038609,-1.14793e-05,2.44706e-05,-0.021777
15.642,8.99985,8.99954,0.182462,-0.00479816,-0.00221828,-0.00387455,1.15506e-05,-2.21355e-05,-0.0217914
15.652,8.99986,8.99954,0.182462,0.00492095,0.00225681,-0.00386091,-1.14794e-05,2.44706e-05,-0.021807
15.662,8.99985,8.99954,0.182462,-0.00479823,-0.00221815,-0.00387456,1.15507e-05,-2.21355e-05,-0.0218214
15.672,8.99986,8.99954,0.182462,0.00492102,0.00225667,-0.00386092,-1.14795e-05,2.44707e-05,-0.021837
15.682,8.99985,8.99953,0.182462,-0.00479829,-0.00221802,-0.00387457,1.15508e-05,-2.21355e-05,-0.0218514
15.692,8.99986,8.99954,0.182462,0.00492109,0.00225654,-0.00386093,-1.14796e-05,2.44707e-05,-0.021867
15.702,8.99985,8.99953,0.182462,-0.00479836,-0.00221789,-0.00387458,1.15509e-05,-2.21355e-05,-0.0218814
15.712,8.99986,8.99954,0.182462,0.00492116,0.00225641,-0.00386094,-1.14796e-05,2.44708e-05,-0.021897
15.722,8.99985,8.99953,0.182462,-0.00479842,-0.00221776,-0.00387459,1.1551e-05,-2.21354e-05,-0.0219114
15.732,8.99986,8.99954,0.182462,0.00492123,0.00225628,-0.00386095,-1.14797e-05,2.44708e-05,-0.021927
15.742,8.99985,8.99953,0.182462,-0.00479849,-0.00221763,-0.00387459,1.15512e-05,-2.21354e-05,-0.0219414
15.752,8.99986,8.99954,0.182462,0.0049213,0.00225614,-0.00386096,-1.14798e-05,2.44709e-05,-0.021957
15.762,8.99985,8.99953,0.182462,-0.00479855,-0.0022175,-0.0038746,1.15513e-05,-2.21354e-05,-0.0219714
15.772,8.99986,8.99954,0.182462,0.00492137,0.00225601,-0.00386096,-1.14799e-05,2.4471e-05,-0.021987
15.782,8.99985,8.99953,0.182462,-0.00479862,-0.00221737,-0.00387461,1.15514e-05,-2.21354e-05,-0.0220014
15.792,8.99986,8.99953,0.182462,0.00492144,0.00225588,-0.00386097,-1.148e-05,2.4471e-05,-0.022017
15.802,8.99985,8.99953,0.182462,-0.00479868,-0.00221724,-0.00387462,1.15515e-05,-2.21354e-05,-0.0220314
15.812,8.99986,8.99953,0.182462,0.00492151,0.00225575,-0.00386098,-1.14801e-05,2.44711e-05,-0.022047
15.822,8.99985,8.99953,0.182462,-0.00479875,-0.00221712,-0.00387463,1.15516e-05,-2.21354e-05,-0.0220614
15.832,8.99986,8.99953,0.182462,0.00492158,0.00225561,-0.00386099,-1.14801e-05,2.44711e-05,-0.022077
15.842,8.99985,8.99953,0.182462,-0.00479881,-0.00221699,-0.00387464,1.15517e-05,-2.21354e-05,-0.0220914
15.882,8.99985,8.99953,0.182462,-0.00479894,-0.00221673,-0.00387466,1.15519e-05,-2.21354e-05,-0.0221514
15.892,8.99986,8.99953,0.182462,0.00492179,0.00225522,-0.00386102,-1.14804e-05,2.44713e-05,-0.022167
15.902,8.99985,8.99953,0.182462,-0.00479901,-0.0022166,-0.00387466,1.1552e-05,-2.21354e-05,-0.0221814
15.912,8.99986,8.99953,0.182462,0.00492186,0.00225508,-0.00386103,-1.14805e-05,2.44713e-05,-0.022197
15.922,8.99985,8.99953,0.182462,-0.00479907,-0.00221647,-0.00387467,1.15521e-05,-2.21354e-05,-0.0222114
15.932,8.99986,8.99953,0.182462,0.00492192,0.00225495,-0.00386103,-1.14806e-05,2.44714e-05,-0.022227
15.942,8.99985,8.99953,0.182462,-0.00479914,-0.00221634,-0.00387468,1.15522e-05,-2.21354e-05,-0.0222414
15.952,8.99986,8.99953,0.182462,0.00492199,0.00225482,-0.00386104,-1.14806e-05,2.44714e-05,-0.022257
15.962,8.99985,8.99953,0.182462,-0.0047992,-0.00221621,-0.00387469,1.15523e-05,-2.21354e-05,-0.0222714
15.972,8.99986,8.99953,0.182462,0.00492206,0.00225469,-0.00386105,-1.14807e-05,2.44715e-05,-0.022287
15.982,8.99985,8.99952,0.182462,-0.00479927,-0.00221608,-0.0038747,1.15524e-05,-2.21353e-05,-0.0223014
15.992,8.99986,8.99953,0.182462,0.00492213,0.00225455,-0.00386106,-1.14808e-05,2.44715e-05,-0.022317
16.002,8.99985,8.99952,0.182462,-0.00479933,-0.00221595,-0.00387471,1.15525e-05,-2.21353e-05,-0.0223314
16.012,8.99986,8.99953,0.182462,0.0049222,0.00225442,-0.00386107,-1.14809e-05,2.44716e-05,-0.022347
16.022,8.99985,8.99952,0.182462,-0.0047994,-0.00221582,-0.00387472,1.15526e-05,-2.21353e-05,-0.0223614
16.032,8.99986,8.99953,0.182462,0.00492227,0.00225429,-0.00386108,-1.1481e-05,2.44717e-05,-0.022377
16.042,8.99985,8.99952,0.182462,-0.00479946,-0.0022157,-0.00387473,1.15527e-05,-2.21353e-05,-0.0223914
16.062,8.99985,8.99952,0.182462,-0.00479953,-0.00221557,-0.00387473,1.15528e-05,-2.21353e-05,-0.0224214
16.072,8.99986,8.99953,0.182462,0.00492241,0.00225402,-0.0038611,-1.14811e-05,2.44718e-05,-0.022437
16.082,8.99985,8.99952,0.182462,-0.00479959,-0.00221544,-0.00387474,1.15529e-05,-2.21353e-05,-0.0224514
16.092,8.99986,8.99952,0.182462,0.00492248,0.00225389,-0.0038611,-1.14812e-05,2.44718e-05,-0.022467
16.102,8.99985,8.99952,0.182462,-0.00479966,-0.00221531,-0.00387475,1.1553e-05,-2.21353e-05,-0.0224814
